Params	Time Savings	BD-BR Inc	RDCCOst
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=3	0.4407	0.0359	0.0814
AMP=0_BipredSearchRange=0_SearchRange=4	0.2154	0.0204	0.0945
AMP=0_BipredSearchRange=2_SearchRange=8_TestRect=3_refs=3	0.3896	0.0371	0.0952
AMP=0_BipredSearchRange=2_TestRect=3_refs=3	0.3750	0.0331	0.0882
AMP=0_BipredSearchRange=0_SearchRange=8_TestRect=2_refs=3	0.4806	0.0454	0.0945
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=2	0.5280	0.0522	0.0988
AMP=0_BipredSearchRange=0_SearchRange=8_TestRect=3_refs=3	0.4012	0.0387	0.0964
AMP=0_BipredSearchRange=0_refs=2	0.4176	0.0367	0.0879
AMP=0_BipredSearchRange=0_TestRect=3_refs=2	0.4860	0.0473	0.0973
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4_refs=3	0.4523	0.0390	0.0862
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2_refs=3	0.5863	0.0591	0.1009
BipredSearchRange=0_SearchRange=4_refs=3	0.2289	0.0216	0.0943
BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=3_refs=3	0.4456	0.0361	0.0811
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=3_refs=3	0.5163	0.0489	0.0948
BipredSearchRange=2_SearchRange=4_TestRect=3_refs=3	0.2956	0.0262	0.0886
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=3_refs=2	0.5607	0.0521	0.0930
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4_refs=2	0.5587	0.0511	0.0915
BipredSearchRange=0_SearchRange=4_refs=2	0.3453	0.0338	0.0979
BipredSearchRange=0_SearchRange=4_TestRect=3_refs=2	0.3416	0.0404	0.1184
AMP=0_BipredSearchRange=0_SearchRange=4_TestRect=3_refs=3	0.3987	0.0398	0.0999
AMP=0_BipredSearchRange=0_SearchRange=4_refs=2	0.4271	0.0448	0.1050
AMP=0_BipredSearchRange=2_SearchRange=4_TestRect=3_refs=3	0.3915	0.0392	0.1000
BipredSearchRange=0_FME=1	0.3174	0.0537	0.1691
BipredSearchRange=0_refs=1	0.4668	0.0448	0.0961
BipredSearchRange=0_HadamardME=0	0.1637	0.0174	0.1065
BipredSearchRange=0_MaxPartitionDepth=3	0.2914	0.0936	0.3211
BipredSearchRange=0_SearchRange=0	0.1384	0.0956	0.6908
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=3_refs=2	0.6164	0.0633	0.1027
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2_refs=2	0.6686	0.0744	0.1112
BipredSearchRange=0_SearchRange=8_TestRect=2_refs=2	0.4643	0.0430	0.0926
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=2_refs=3	0.5968	0.0659	0.1105
BipredSearchRange=0_SearchRange=8_TestRect=3_refs=2	0.4067	0.0367	0.0903
AMP=0_BipredSearchRange=0_SearchRange=8_TestRect=2_refs=2	0.5525	0.0575	0.1041
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=2_refs=2	0.6692	0.0784	0.1171
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_TestRect=2_refs=2	0.6636	0.0731	0.1101
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=3_refs=2	0.6155	0.0590	0.0958
BipredSearchRange=0_SearchRange=4_TestRect=3_refs=1	0.5090	0.0584	0.1148
